plc_name,subnetmask,gateway,device_name,node_names
P209000AE01-JC5,255.255.255.0,10.210.79.1,,
,,,209220AX01-JW51,IE1
,,,209230CA21M4-UE150,IE1
,,,209000AE02-JW208.X1,IE1
,,,209210CHB21M14-UE134,IE1
,,,209210Field-JW221,IE1
,,,209000AS02-JW39,IE1
,,,209230Field-JW223,IE1
,,,209000AK02-JC32,IE1
,,,209000AS01-JW38,IE1
,,,209000AK04M4-UE142,IE1
,,,209230CHB21M14-UE151,IE1
,,,209230CHB22M14-UE152,IE1
,,,209210AS10-JW40,IE1
,,,ETHERNET,X2
,,,209230AX01-JW61,IE1
,,,209000AE02-JW71,PB1
,,,209000AK03M4-UE132,IE1
,,,209220AS11-JW52,IE1
,,,209220AS10-JW50,IE1
,,,209220CWP10-JX54,IE1
,,,209220CHB21M14-UE144,IE1
,,,209000AK03M1-UE133,IE1
,,,209220AS20-JW58,IE1
,,,211212AE1-JW200,IE1
,,,209210CWP10-JX44,IE1
,,,209000AK03-JW36,IE1
,,,209220CWP10-JX55,IE1
,,,209000AK04M4-UE141,IE1
,,,POFIBUS,X3
,,,209210CWP10-JX45,IE1
,,,209210AX01-JW41,IE1
,,,209220Field-JW232,IE1
,,,209000AE02-JW210,IE1
,,,209220CWP10-JX57,IE1
,,,209000AK01-JW35,IE1
,,,209210CWP20-JX46,IE1
,,,209000AE01-JC31,IE1
,,,209000AK04M1-UE143,IE1
,,,209000AE02-JW70,PB1
,,,209210Field-JW231,IE1
,,,209210CWP20-JX47,IE1
,,,209220CWP20-JX56,IE1
,,,209000AK03M4-UE131,IE1
,,,209000AK03M1-UE130,IE1
,,,209000AK04-JW37,IE1
,,,209220AX02-JW53,IE1
,,,209230AS10-JW60,IE1
,,,209210AS20-JW48,IE1
,,,209000AK04M1-UE140,IE1
,,,209000AK01E1-BE30,IE1
,,,PROFINET,X1
,,,209000AE02-JW208.X2,IE1
,,,209210AX02-JW43,IE1
,,,209000AE02-JW211,IE1
,,,209220Field-JW222,IE1
,,,209210AS11-JW42,IE1
,,,PROFINET interface,X1
,,,209230CR22M1-UE153,IE1
,,,209230ASD01-JW190,IE1
